"term","categories","variant_names","wikipedia_en","wikipedia_he","selected_anchor_text","hebrew_term","chavrutai_search_url","wiki_match_source"
"a certain family in Jerusalem","names","","","","","","https://chavrutai.com/search?q=a%20certain%20family%20in%20Jerusalem",""
"a certain female convert","names","","","","","","https://chavrutai.com/search?q=a%20certain%20female%20convert",""
"a certain female owner of a wine shop","names","","","","","","https://chavrutai.com/search?q=a%20certain%20female%20owner%20of%20a%20wine%20shop",""
"A certain Galilean","names","","","","","","https://chavrutai.com/search?q=A%20certain%20Galilean",""
"a certain gentile","names","","","","","","https://chavrutai.com/search?q=a%20certain%20gentile",""
"a certain gentile woman","names","","","","","","https://chavrutai.com/search?q=a%20certain%20gentile%20woman",""
"a certain girl","names","","","","","","https://chavrutai.com/search?q=a%20certain%20girl",""
"a certain guarantor","names","","","","","","https://chavrutai.com/search?q=a%20certain%20guarantor",""
"a certain herdsman","names","","","","","","https://chavrutai.com/search?q=a%20certain%20herdsman",""
"a certain heretic","names","","","","","","https://chavrutai.com/search?q=a%20certain%20heretic",""
"A certain heretic named Sason","names","","","","","","https://chavrutai.com/search?q=A%20certain%20heretic%20named%20Sason",""
"a certain High Priest","names","","","","","","https://chavrutai.com/search?q=a%20certain%20High%20Priest",""
"a certain imbecile","names","","","","","","https://chavrutai.com/search?q=a%20certain%20imbecile",""
"a certain individual","names","","","","","","https://chavrutai.com/search?q=a%20certain%20individual",""
"a certain Jew","names","","","","","","https://chavrutai.com/search?q=a%20certain%20Jew",""
"a certain judge","names","","","","","","https://chavrutai.com/search?q=a%20certain%20judge",""
"a certain launderer","names","","","","","","https://chavrutai.com/search?q=a%20certain%20launderer",""
"a certain Madonite","names","","","","","","https://chavrutai.com/search?q=a%20certain%20Madonite",""
"A certain magus","names","","","","","","https://chavrutai.com/search?q=A%20certain%20magus",""
"a certain maiden","names","","","","","","https://chavrutai.com/search?q=a%20certain%20maiden",""
"a certain maidservant","names","","","","","","https://chavrutai.com/search?q=a%20certain%20maidservant",""
"a certain man","names","","","","","","https://chavrutai.com/search?q=a%20certain%20man",""
"A certain matron","names","","","","","","https://chavrutai.com/search?q=A%20certain%20matron",""
"A certain noblewoman","names","","","","","","https://chavrutai.com/search?q=A%20certain%20noblewoman",""
"a certain of Meron","names","","","","","","https://chavrutai.com/search?q=a%20certain%20of%20Meron",""
"a certain official","names","","","","","","https://chavrutai.com/search?q=a%20certain%20official",""
"a certain old man","names","","","","","","https://chavrutai.com/search?q=a%20certain%20old%20man",""
"a certain old woman","names","","","","","","https://chavrutai.com/search?q=a%20certain%20old%20woman",""
"a certain one of the Sages","names","","","","","","https://chavrutai.com/search?q=a%20certain%20one%20of%20the%20Sages",""
"a certain orphan","names","","","","","","https://chavrutai.com/search?q=a%20certain%20orphan",""
"a certain Persian priest","names","","","","","","https://chavrutai.com/search?q=a%20certain%20Persian%20priest",""
"a certain person","names","","","","","","https://chavrutai.com/search?q=a%20certain%20person",""
"A certain philosopher","names","","","","","","https://chavrutai.com/search?q=A%20certain%20philosopher",""
"a certain pious","names","","","","","","https://chavrutai.com/search?q=a%20certain%20pious",""
"a certain pious man","names","","","","","","https://chavrutai.com/search?q=a%20certain%20pious%20man",""
"a certain place","talmudToponyms","","","","","","https://chavrutai.com/search?q=a%20certain%20place",""
"a certain poor person","names","","","","","","https://chavrutai.com/search?q=a%20certain%20poor%20person",""
"A certain pregnant woman","names","","","","","","https://chavrutai.com/search?q=A%20certain%20pregnant%20woman",""
"a certain priest","names","","","","","","https://chavrutai.com/search?q=a%20certain%20priest",""
"a certain priest’s daughter","names","","","","","","https://chavrutai.com/search?q=a%20certain%20priest%E2%80%99s%20daughter",""
"a certain prostitute","names","","","","","","https://chavrutai.com/search?q=a%20certain%20prostitute",""
"A certain Roman","names","","","","","","https://chavrutai.com/search?q=A%20certain%20Roman",""
"A certain Roman officer","names","","","","","","https://chavrutai.com/search?q=A%20certain%20Roman%20officer",""
"a certain Sadducee","names","","","","","","https://chavrutai.com/search?q=a%20certain%20Sadducee",""
"A certain Sage","names","","","","","","https://chavrutai.com/search?q=A%20certain%20Sage",""
"a certain student","names","","","","","","https://chavrutai.com/search?q=a%20certain%20student",""
"a certain tanner","names","","","","","","https://chavrutai.com/search?q=a%20certain%20tanner",""
"a certain teacher of children","names","","","","","","https://chavrutai.com/search?q=a%20certain%20teacher%20of%20children",""
"a certain widow","names","","","","","","https://chavrutai.com/search?q=a%20certain%20widow",""
"a certain woman","names","","","","","","https://chavrutai.com/search?q=a%20certain%20woman",""
"a certain young woman","names","","","","","","https://chavrutai.com/search?q=a%20certain%20young%20woman",""
"a deaf-mute, an imbecile, and a minor","concepts","","","","","","https://chavrutai.com/search?q=a%20deaf-mute%2C%20an%20imbecile%2C%20and%20a%20minor",""
"A Galilean","names","","","","","","https://chavrutai.com/search?q=A%20Galilean",""
"a king and queen","names","","","","","","https://chavrutai.com/search?q=a%20king%20and%20queen",""
"a leading authority of generation","names","","","","","","https://chavrutai.com/search?q=a%20leading%20authority%20of%20generation",""
"a maidservant of Rabbi","names","","","","","","https://chavrutai.com/search?q=a%20maidservant%20of%20Rabbi",""
"a maidservant of the household of Rabbi","names","","","","","","https://chavrutai.com/search?q=a%20maidservant%20of%20the%20household%20of%20Rabbi",""
"a menstruating woman","concepts","","","","","","https://chavrutai.com/search?q=a%20menstruating%20woman",""
"a passerby from the Galilee","names","","","","","","https://chavrutai.com/search?q=a%20passerby%20from%20the%20Galilee",""
"a pious man","names","","","","","","https://chavrutai.com/search?q=a%20pious%20man",""
"a poor person of noble descent","names","","","","","","https://chavrutai.com/search?q=a%20poor%20person%20of%20noble%20descent",""
"a resident of Meḥoza","names","","","","","","https://chavrutai.com/search?q=a%20resident%20of%20Me%E1%B8%A5oza",""
"A resident of Naresh","names","","","","","","https://chavrutai.com/search?q=A%20resident%20of%20Naresh",""
"a resident of Pappunya","names","","","","","","https://chavrutai.com/search?q=a%20resident%20of%20Pappunya",""
"a Samaritan woman","names","","","","","","https://chavrutai.com/search?q=a%20Samaritan%20woman",""
"a son of a Levite","names","","","","","","https://chavrutai.com/search?q=a%20son%20of%20a%20Levite",""
"a young girl","names","","","","","","https://chavrutai.com/search?q=a%20young%20girl",""
"a youth","names","","","","","","https://chavrutai.com/search?q=a%20youth",""
"Aaron","biblicalNames","Aaron and his sons; Aaron the priest","https://en.wikipedia.org/wiki/Aaron","","Aaron","אהרן","https://chavrutai.com/search?q=Aaron","biblical_names_api_review:verified_exact_or_redirect"
"Ab (Semitic)","names","Abba","https://en.wikipedia.org/wiki/Ab_(Semitic)#Judaism","","Abba","","https://chavrutai.com/search?q=Ab%20(Semitic)","blog"
"Abaye","names","","https://en.wikipedia.org/wiki/Abaye","","Abaye","","https://chavrutai.com/search?q=Abaye","blog"
"Abaye bar Abba","names","","","","","","https://chavrutai.com/search?q=Abaye%20bar%20Abba",""
"Abaye bar Avin","names","","","","","","https://chavrutai.com/search?q=Abaye%20bar%20Avin",""
"Abaye bar Huna","names","","","","","","https://chavrutai.com/search?q=Abaye%20bar%20Huna",""
"Abaye bar Ravin","names","","","","","","https://chavrutai.com/search?q=Abaye%20bar%20Ravin",""
"Abaye the Elder","names","","","","","","https://chavrutai.com/search?q=Abaye%20the%20Elder",""
"Abaye, son of Rabbi Abbahu","names","","","","","","https://chavrutai.com/search?q=Abaye%2C%20son%20of%20Rabbi%20Abbahu",""
"Abaye’s mother","names","","","","","","https://chavrutai.com/search?q=Abaye%E2%80%99s%20mother",""
"Abaye’s tenant farmer","names","","","","","","https://chavrutai.com/search?q=Abaye%E2%80%99s%20tenant%20farmer",""
"Abaye’s wife, Ḥoma","names","","","","","","https://chavrutai.com/search?q=Abaye%E2%80%99s%20wife%2C%20%E1%B8%A4oma",""
"Abba Arikha","names","Rav","https://en.wikipedia.org/wiki/Abba_Arikha","https://he.wikipedia.org/wiki/%D7%A8%D7%91_(%D7%90%D7%9E%D7%95%D7%A8%D7%90)","Rav","רב (אמורא)","https://chavrutai.com/search?q=Abba%20Arikha","blog+en_langlink_he"
"Abba b. Martha","names","Abba bar Marta","https://en.wikipedia.org/wiki/Abba_b._Martha","","Abba bar Marta","","https://chavrutai.com/search?q=Abba%20b.%20Martha","blog"
"Abba bar Abba","names","Shmuel’s father","https://en.wikipedia.org/wiki/Abba_bar_Abba","","Shmuel’s father","","https://chavrutai.com/search?q=Abba%20bar%20Abba","blog"
"Abba bar Abba, the father of Shmuel","names","","","","","","https://chavrutai.com/search?q=Abba%20bar%20Abba%2C%20the%20father%20of%20Shmuel",""
"Abba bar Aḥa Karsala from Kafrei","names","","","","","","https://chavrutai.com/search?q=Abba%20bar%20A%E1%B8%A5a%20Karsala%20from%20Kafrei",""
"Abba bar Ḥama","names","","","","","","https://chavrutai.com/search?q=Abba%20bar%20%E1%B8%A4ama",""
"Abba bar Ḥanan","names","","","","","","https://chavrutai.com/search?q=Abba%20bar%20%E1%B8%A4anan",""
"Abba bar Manyomi","names","","","","","","https://chavrutai.com/search?q=Abba%20bar%20Manyomi",""
"Abba bar Manyumi","names","","","","","","https://chavrutai.com/search?q=Abba%20bar%20Manyumi",""
"Abba bar Minyomi","names","","","","","","https://chavrutai.com/search?q=Abba%20bar%20Minyomi",""
"Abba bar Minyumi","names","","","","","","https://chavrutai.com/search?q=Abba%20bar%20Minyumi",""
"Abba bar Rav Ḥisda","names","","","","","","https://chavrutai.com/search?q=Abba%20bar%20Rav%20%E1%B8%A4isda",""
"Abba Binyamin","names","","","","","","https://chavrutai.com/search?q=Abba%20Binyamin",""
"Abba Bira’a, son of Rabbi Eliezer ben Ya’akov","names","","","","","","https://chavrutai.com/search?q=Abba%20Bira%E2%80%99a%2C%20son%20of%20Rabbi%20Eliezer%20ben%20Ya%E2%80%99akov",""
"Abba Elazar","names","","","","","","https://chavrutai.com/search?q=Abba%20Elazar",""
"Abba Elazar ben Gamla","names","","","","","","https://chavrutai.com/search?q=Abba%20Elazar%20ben%20Gamla",""
"Abba Elazar ben Gimmel","names","","","","","","https://chavrutai.com/search?q=Abba%20Elazar%20ben%20Gimmel",""
"Abba Elazar ben Gomel","names","","","","","","https://chavrutai.com/search?q=Abba%20Elazar%20ben%20Gomel",""
"Abba Gurya","names","","","","","","https://chavrutai.com/search?q=Abba%20Gurya",""
"Abba Guryan of Tzadyan","names","","","","","","https://chavrutai.com/search?q=Abba%20Guryan%20of%20Tzadyan",""
"Abba Ḥalafta","names","","","","","","https://chavrutai.com/search?q=Abba%20%E1%B8%A4alafta",""
"Abba Ḥalafta, from the village of Ḥananya","names","","","","","","https://chavrutai.com/search?q=Abba%20%E1%B8%A4alafta%2C%20from%20the%20village%20of%20%E1%B8%A4ananya",""
"Abba Ḥalifa","names","","","","","","https://chavrutai.com/search?q=Abba%20%E1%B8%A4alifa",""
"Abba Ḥalifa Karoya","names","","","","","","https://chavrutai.com/search?q=Abba%20%E1%B8%A4alifa%20Karoya",""
"Abba Ḥanan","names","","","","","","https://chavrutai.com/search?q=Abba%20%E1%B8%A4anan",""
"Abba Ḥanin","names","","","","","","https://chavrutai.com/search?q=Abba%20%E1%B8%A4anin",""
"Abba Hilkiah","names","Abba Ḥilkiyyahu","https://en.wikipedia.org/wiki/Abba_Hilkiah","","Abba Ḥilkiyyahu","","https://chavrutai.com/search?q=Abba%20Hilkiah","blog"
"Abba Ḥilkiyya","names","","","","","","https://chavrutai.com/search?q=Abba%20%E1%B8%A4ilkiyya",""
"Abba Kohen Bardela","names","","","","","","https://chavrutai.com/search?q=Abba%20Kohen%20Bardela",""
"Abba Mar","names","","","","","","https://chavrutai.com/search?q=Abba%20Mar",""
"Abba Mar bar Rav Ashi","names","","","","","","https://chavrutai.com/search?q=Abba%20Mar%20bar%20Rav%20Ashi",""
"Abba Mar, son of Rav Pappa","names","","","","","","https://chavrutai.com/search?q=Abba%20Mar%2C%20son%20of%20Rav%20Pappa",""
"Abba Mari, the Exilarch","names","","","","","","https://chavrutai.com/search?q=Abba%20Mari%2C%20the%20Exilarch",""
"Abba Sala the Great","names","","","","","","https://chavrutai.com/search?q=Abba%20Sala%20the%20Great",""
"Abba Saul","names","Abba Shaul","https://en.wikipedia.org/wiki/Abba_Saul","","Abba Shaul","","https://chavrutai.com/search?q=Abba%20Saul","blog"
"Abba Shaul bar Nash","names","","","","","","https://chavrutai.com/search?q=Abba%20Shaul%20bar%20Nash",""
"Abba Shaul bar Remash","names","","","","","","https://chavrutai.com/search?q=Abba%20Shaul%20bar%20Remash",""
"Abba Shaul ben Batnit","names","","","","","","https://chavrutai.com/search?q=Abba%20Shaul%20ben%20Batnit",""
"Abba Shaul ben Botnit","names","","","","","","https://chavrutai.com/search?q=Abba%20Shaul%20ben%20Botnit",""
"Abba Shaul ben Imma Miriam","names","","","","","","https://chavrutai.com/search?q=Abba%20Shaul%20ben%20Imma%20Miriam",""
"Abba Sikkara","names","","","","","","https://chavrutai.com/search?q=Abba%20Sikkara",""
"Abba Sura","names","","","","","","https://chavrutai.com/search?q=Abba%20Sura",""
"Abba Sura’s daughter","names","","","","","","https://chavrutai.com/search?q=Abba%20Sura%E2%80%99s%20daughter",""
"Abba the Bloodletter","names","","","","","","https://chavrutai.com/search?q=Abba%20the%20Bloodletter",""
"Abba the tall","names","","","","","","https://chavrutai.com/search?q=Abba%20the%20tall",""
"Abba Yosef ben Dostai","names","","","","","","https://chavrutai.com/search?q=Abba%20Yosef%20ben%20Dostai",""
"Abba Yosef ben Ḥanin","names","","","","","","https://chavrutai.com/search?q=Abba%20Yosef%20ben%20%E1%B8%A4anin",""
"Abba Yosei","names","","","","","","https://chavrutai.com/search?q=Abba%20Yosei",""
"Abba Yosei bar Abba","names","","","","","","https://chavrutai.com/search?q=Abba%20Yosei%20bar%20Abba",""
"Abba Yosei ben Dosai","names","","","","","","https://chavrutai.com/search?q=Abba%20Yosei%20ben%20Dosai",""
"Abba Yosei ben Dostai","names","","","","","","https://chavrutai.com/search?q=Abba%20Yosei%20ben%20Dostai",""
"Abba Yosei ben Ḥanan","names","","","","","","https://chavrutai.com/search?q=Abba%20Yosei%20ben%20%E1%B8%A4anan",""
"Abba Yosei ben Katonta","names","","","","","","https://chavrutai.com/search?q=Abba%20Yosei%20ben%20Katonta",""
"Abba Yosei ben Simai","names","","","","","","https://chavrutai.com/search?q=Abba%20Yosei%20ben%20Simai",""
"Abba Yosei ben Yoḥanan","names","","","","","","https://chavrutai.com/search?q=Abba%20Yosei%20ben%20Yo%E1%B8%A5anan",""
"Abba Yudan of Sidon","names","","","","","","https://chavrutai.com/search?q=Abba%20Yudan%20of%20Sidon",""
"Abba, father of Rabbi Yirmeya bar Abba","names","","","","","","https://chavrutai.com/search?q=Abba%2C%20father%20of%20Rabbi%20Yirmeya%20bar%20Abba",""
"Abba, son of Rabbi Binyamin bar Ḥiyya","names","","","","","","https://chavrutai.com/search?q=Abba%2C%20son%20of%20Rabbi%20Binyamin%20bar%20%E1%B8%A4iyya",""
"Abba, son of Rabbi Ḥiyya bar Abba","names","","","","","","https://chavrutai.com/search?q=Abba%2C%20son%20of%20Rabbi%20%E1%B8%A4iyya%20bar%20Abba",""
"Abba, son of Rav Binyamin bar Ḥiyya","names","","","","","","https://chavrutai.com/search?q=Abba%2C%20son%20of%20Rav%20Binyamin%20bar%20%E1%B8%A4iyya",""
"Abba, son of Rav Minyamin bar Ḥiyya","names","","","","","","https://chavrutai.com/search?q=Abba%2C%20son%20of%20Rav%20Minyamin%20bar%20%E1%B8%A4iyya",""
"Abba, son of Rav Minyumi, son of Ḥiyya","names","","","","","","https://chavrutai.com/search?q=Abba%2C%20son%20of%20Rav%20Minyumi%2C%20son%20of%20%E1%B8%A4iyya",""
"Abba, the father of Rabbi Simlai","names","","","","","","https://chavrutai.com/search?q=Abba%2C%20the%20father%20of%20Rabbi%20Simlai",""
"Abbudina","names","","","","","","https://chavrutai.com/search?q=Abbudina",""
"Abdon","names","","","","","","https://chavrutai.com/search?q=Abdon",""
"Abei Givar","talmudToponyms","","","","","","https://chavrutai.com/search?q=Abei%20Givar",""
"Abel","biblicalNames","","https://en.wikipedia.org/wiki/Abel","https://he.wikipedia.org/wiki/%D7%94%D7%91%D7%9C","","הבל","https://chavrutai.com/search?q=Abel","biblical_names_api_review:verified_exact_or_redirect"
"Abiathar","biblicalNames","","https://en.wikipedia.org/wiki/Abiathar","","","","https://chavrutai.com/search?q=Abiathar","biblical_names_api_review:verified_exact_or_redirect"
"Abigail","biblicalNames","","https://en.wikipedia.org/wiki/Abigail","","Abigail","","https://chavrutai.com/search?q=Abigail","biblical_names_api_review:verified_exact_or_redirect"
"Abijah, son of Jeroboam","biblicalNames","","","","","","https://chavrutai.com/search?q=Abijah%2C%20son%20of%20Jeroboam","biblical_names_api_review:no_exact_page"
"Abila (Peraea)","talmudToponyms","Shittim","https://en.wikipedia.org/wiki/Abila_(Peraea)","","Shittim","","https://chavrutai.com/search?q=Abila%20(Peraea)","blog"
"Abimelech","biblicalNames","","https://en.wikipedia.org/wiki/Abimelech","","Abimelech","","https://chavrutai.com/search?q=Abimelech","biblical_names_api_review:verified_exact_or_redirect"
"Abiram","biblicalNames","","https://en.wikipedia.org/wiki/Abiram","","Abiram","","https://chavrutai.com/search?q=Abiram","biblical_names_api_review:verified_exact_or_redirect"
"Abishag","biblicalNames","","https://en.wikipedia.org/wiki/Abishag","","Abishag","","https://chavrutai.com/search?q=Abishag","biblical_names_api_review:verified_exact_or_redirect"
"Abishai","biblicalNames","","","","","","https://chavrutai.com/search?q=Abishai","biblical_names_api_review:disambiguation_only"
"Abishai ben Zeruiah","biblicalNames","","","","Abishai ben Zeruiah","","https://chavrutai.com/search?q=Abishai%20ben%20Zeruiah","biblical_names_api_review:no_exact_page"
"Abishai, son of Zeruiah","biblicalNames","","","","","","https://chavrutai.com/search?q=Abishai%2C%20son%20of%20Zeruiah","biblical_names_api_review:no_exact_page"
"Ablat","names","","","","","","https://chavrutai.com/search?q=Ablat",""
"Ablet","names","","","","","","https://chavrutai.com/search?q=Ablet",""
"Abner","biblicalNames","Abner ben Ner","https://en.wikipedia.org/wiki/Abner","","Abner","","https://chavrutai.com/search?q=Abner","biblical_names_api_review:verified_exact_or_redirect"
"Abraham","biblicalNames","","https://en.wikipedia.org/wiki/Abraham","","Abraham","","https://chavrutai.com/search?q=Abraham","biblical_names_api_review:verified_exact_or_redirect"
"Abraham, Isaac, and Jacob","biblicalNames","","","","","","https://chavrutai.com/search?q=Abraham%2C%20Isaac%2C%20and%20Jacob","biblical_names_api_review:no_exact_page"
"Absalom","biblicalNames","Avshalom","https://en.wikipedia.org/wiki/Absalom","","Absalom","","https://chavrutai.com/search?q=Absalom","biblical_names_api_review:verified_exact_or_redirect"
"Abtalion","names","Avtalyon","https://en.wikipedia.org/wiki/Abtalion","","Avtalyon","","https://chavrutai.com/search?q=Abtalion","blog"
"Achan","biblicalNames","","","","Achan","","https://chavrutai.com/search?q=Achan","biblical_names_api_review:disambiguation_only"
"Achsah","biblicalNames","","https://en.wikipedia.org/wiki/Achsah","","Achsah","","https://chavrutai.com/search?q=Achsah","biblical_names_api_review:verified_exact_or_redirect"
"Acre, Israel","talmudToponyms","Akko","https://en.wikipedia.org/wiki/Acre,_Israel#Roman_colony","","Akko","","https://chavrutai.com/search?q=Acre%2C%20Israel","blog"
"Adam","biblicalNames","Adam and Eve; Adam the first; Adam the first man; Adam, the first","https://en.wikipedia.org/wiki/Adam","","Adam","","https://chavrutai.com/search?q=Adam","biblical_names_api_review:verified_exact_or_redirect"
"Adda","names","","","","","","https://chavrutai.com/search?q=Adda",""
"Adda bar Abba","names","","","","","","https://chavrutai.com/search?q=Adda%20bar%20Abba",""
"Adda bar Ahavah","names","Adda bar Ahava","https://en.wikipedia.org/wiki/Adda_bar_Ahavah","","Adda bar Ahava","","https://chavrutai.com/search?q=Adda%20bar%20Ahavah","blog"
"Adda bar Avimi","names","","","","","","https://chavrutai.com/search?q=Adda%20bar%20Avimi",""
"Adda bar Ḥavu","names","","","","","","https://chavrutai.com/search?q=Adda%20bar%20%E1%B8%A4avu",""
"Adda bar Ukhmei","names","","","","","","https://chavrutai.com/search?q=Adda%20bar%20Ukhmei",""
"Adda Mari","names","","","","","","https://chavrutai.com/search?q=Adda%20Mari",""
"Adda the attendant","names","","","","","","https://chavrutai.com/search?q=Adda%20the%20attendant",""
"Adda the fisherman","names","","","","","","https://chavrutai.com/search?q=Adda%20the%20fisherman",""
"Adda, attendant","names","","","","","","https://chavrutai.com/search?q=Adda%2C%20attendant",""
"Adi the Arab","names","","","","","","https://chavrutai.com/search?q=Adi%20the%20Arab",""
"Adiabene","talmudToponyms","","https://en.wikipedia.org/wiki/Adiabene","","Hadiab","","https://chavrutai.com/search?q=Adiabene","blog"
"Adin","biblicalNames","","https://en.wikipedia.org/wiki/Adin","","","","https://chavrutai.com/search?q=Adin","biblical_names_api_review:verified_exact_or_redirect"
"Admon","names","","","","","","https://chavrutai.com/search?q=Admon",""
"Admon ben Gaddai","names","","","","","","https://chavrutai.com/search?q=Admon%20ben%20Gaddai",""
"Adonijah","biblicalNames","","https://en.wikipedia.org/wiki/Adonijah","","Adonijah","","https://chavrutai.com/search?q=Adonijah","biblical_names_api_review:verified_exact_or_redirect"
"Adrakan","names","","","","","","https://chavrutai.com/search?q=Adrakan",""
"Adrammelech","biblicalNames","","https://en.wikipedia.org/wiki/Adrammelech","","","","https://chavrutai.com/search?q=Adrammelech","biblical_names_api_review:verified_exact_or_redirect"
"Adriel","biblicalNames","","https://en.wikipedia.org/wiki/Adriel","","","","https://chavrutai.com/search?q=Adriel","biblical_names_api_review:verified_exact_or_redirect"
"Aforayim","talmudToponyms","","","","","","https://chavrutai.com/search?q=Aforayim",""
"Africa","biblicalNations;talmudToponyms","","","","","","https://chavrutai.com/search?q=Africa",""
"Afrikei","talmudToponyms","","","","","","https://chavrutai.com/search?q=Afrikei",""
"Afrikiya","talmudToponyms","","","","","","https://chavrutai.com/search?q=Afrikiya",""
"Agag","biblicalNames","","https://en.wikipedia.org/wiki/Agag","","King Agag","","https://chavrutai.com/search?q=Agag","biblical_names_api_review:verified_exact_or_redirect"
"Agardamis the Arab merchant","names","","","","","","https://chavrutai.com/search?q=Agardamis%20the%20Arab%20merchant",""
"Agma","talmudToponyms","","","","","","https://chavrutai.com/search?q=Agma",""
"Agra","names","","","","","","https://chavrutai.com/search?q=Agra",""
"Agra, the father-in-law of Rabbi Abba","names","","","","","","https://chavrutai.com/search?q=Agra%2C%20the%20father-in-law%20of%20Rabbi%20Abba",""
"Agrat bat Mahlat","names","Agrat, daughter of Maḥalat","https://en.wikipedia.org/wiki/Agrat_bat_Mahlat","","Agrat daughter of Maḥalat","","https://chavrutai.com/search?q=Agrat%20bat%20Mahlat","blog"
"Agrippas general","names","","","","","","https://chavrutai.com/search?q=Agrippas%20general",""
"Agrippas the general","names","","","","","","https://chavrutai.com/search?q=Agrippas%20the%20general",""
"Aha b. Rava","names","Rav Aḥa, son of Rava","https://en.wikipedia.org/wiki/Aha_b._Rava","","Rav Aḥa son of Rava","","https://chavrutai.com/search?q=Aha%20b.%20Rava","blog"
"Aḥa bar Hidya","names","","","","","","https://chavrutai.com/search?q=A%E1%B8%A5a%20bar%20Hidya",""
"Aha bar Jacob","names","Rav Aḥa bar Ya’akov; Rav Aḥa bar Yaakov","https://en.wikipedia.org/wiki/Aha_bar_Jacob","","Rav Aḥa bar Ya’akov","","https://chavrutai.com/search?q=Aha%20bar%20Jacob","blog"
"Aḥa, brother of Abba, father of Rabbi Yirmeya bar Abba","names","","","","","","https://chavrutai.com/search?q=A%E1%B8%A5a%2C%20brother%20of%20Abba%2C%20father%20of%20Rabbi%20Yirmeya%20bar%20Abba",""
"Aha, the governor of the castle","names","","","","","","https://chavrutai.com/search?q=Aha%2C%20the%20governor%20of%20the%20castle",""
"Ahab","biblicalNames","Ahab ben Omri; Ahab, son of Omri","https://en.wikipedia.org/wiki/Ahab","https://he.wikipedia.org/wiki/%D7%90%D7%97%D7%90%D7%91","Ahab","אחאב","https://chavrutai.com/search?q=Ahab","biblical_names_api_review:verified_exact_or_redirect"
"Aḥai bar Yoshiya","names","","","","","","https://chavrutai.com/search?q=A%E1%B8%A5ai%20bar%20Yoshiya",""
"Aḥai the Distinguished","names","","","","","","https://chavrutai.com/search?q=A%E1%B8%A5ai%20the%20Distinguished",""
"Ahasuerus","biblicalNames","King Ahasuerus","https://en.wikipedia.org/wiki/Ahasuerus","","Ahasuerus","","https://chavrutai.com/search?q=Ahasuerus","biblical_names_api_review:verified_exact_or_redirect"
"Ahava, son of Rabbi Zeira","names","","","","","","https://chavrutai.com/search?q=Ahava%2C%20son%20of%20Rabbi%20Zeira",""
"Ahaz","biblicalNames","","https://en.wikipedia.org/wiki/Ahaz","","Ahaz","","https://chavrutai.com/search?q=Ahaz","biblical_names_api_review:verified_exact_or_redirect"
"Ahaziah","biblicalNames","","https://en.wikipedia.org/wiki/Ahaziah","","","","https://chavrutai.com/search?q=Ahaziah","biblical_names_api_review:verified_exact_or_redirect"
"Aḥer","names","","","","","","https://chavrutai.com/search?q=A%E1%B8%A5er",""
"Aḥi Shakkaya","names","","","","","","https://chavrutai.com/search?q=A%E1%B8%A5i%20Shakkaya",""
"Ahijah the Shilonite","biblicalNames","","https://en.wikipedia.org/wiki/Ahijah_the_Shilonite","","Ahijah","","https://chavrutai.com/search?q=Ahijah%20the%20Shilonite","biblical_names_api_review:verified_exact_or_redirect"
"Ahijah, son of Shamhazai","biblicalNames","","","","","","https://chavrutai.com/search?q=Ahijah%2C%20son%20of%20Shamhazai","biblical_names_api_review:no_exact_page"
