"term","existing_wikipedia_en","verified_wikipedia_en","verified_wikipedia_he","hebrew_title_from_langlink","resolved_title","verification_status","notes"
"Ahijah the Shilonite","https://en.wikipedia.org/wiki/Ahijah_the_Shilonite","https://en.wikipedia.org/wiki/Ahijah_the_Shilonite","","","Ahijah the Shilonite","verified_exact_or_redirect",""
"Ahijah, son of Shamhazai","","","","","","no_exact_page",""
"Ahiman","https://en.wikipedia.org/wiki/Ahiman","https://en.wikipedia.org/wiki/Ahiman","","","Ahiman","verified_exact_or_redirect",""
"Ahimelech, son of Ahitub","","","","","","no_exact_page",""
"Ahithophel","https://en.wikipedia.org/wiki/Ahitophel","https://en.wikipedia.org/wiki/Ahitophel","","","Ahitophel","verified_exact_or_redirect",""
"Ahitophel","https://en.wikipedia.org/wiki/Ahitophel","https://en.wikipedia.org/wiki/Ahitophel","","","Ahitophel","verified_exact_or_redirect",""
"Amasa","","https://en.wikipedia.org/wiki/Amasa","","","Amasa","verified_exact_or_redirect",""
"Amatlai bat Karnevo","","","","","","no_exact_page",""
"Amatlai bat Orevati","","","","","","no_exact_page",""
"Amaziah","","https://en.wikipedia.org/wiki/Amaziah","","","Amaziah","verified_exact_or_redirect",""
"Ammon and Moab","","","","","","no_exact_page",""
"Amnon","https://en.wikipedia.org/wiki/Amnon","https://en.wikipedia.org/wiki/Amnon","","","Amnon","verified_exact_or_redirect",""
"Amnon and Tamar","","","","","","no_exact_page",""
"Amnon, son of David","","","","","","no_exact_page",""
"Amon","https://en.wikipedia.org/wiki/Amon_of_Judah","https://en.wikipedia.org/wiki/Amon","","","Amon","disambiguation_only","resolved to disambiguation page"
"Amos","https://en.wikipedia.org/wiki/Book_of_Amos","https://en.wikipedia.org/wiki/Amos","","","Amos","disambiguation_only","resolved to disambiguation page"
"Amoz","","https://en.wikipedia.org/wiki/Amoz","","","Amoz","verified_exact_or_redirect",""
"Amram, father of Moses","","","","","","no_exact_page",""
"Amraphel","","https://en.wikipedia.org/wiki/Amraphel","","","Amraphel","verified_exact_or_redirect",""
"Anah","","https://en.wikipedia.org/wiki/Anah","","","Anah","verified_exact_or_redirect",""
"Anammelech","","https://en.wikipedia.org/wiki/Anammelech","","","Anammelech","verified_exact_or_redirect",""
"Arad","","https://en.wikipedia.org/wiki/Arad","","","Arad","disambiguation_only","resolved to disambiguation page"
"Araunah","","https://en.wikipedia.org/wiki/Araunah","","","Araunah","verified_exact_or_redirect",""
"Artaxerxes","","https://en.wikipedia.org/wiki/Artaxerxes","","","Artaxerxes","disambiguation_only","resolved to disambiguation page"
"Asa","https://en.wikipedia.org/wiki/Asa_of_Judah","https://en.wikipedia.org/wiki/Asa","","","Asa","disambiguation_only","resolved to disambiguation page"
"Asahel","","https://en.wikipedia.org/wiki/Asahel","","","Asahel","verified_exact_or_redirect",""
"Asaph","https://en.wikipedia.org/wiki/Psalms_of_Asaph","https://en.wikipedia.org/wiki/Asaph","","","Asaph","disambiguation_only","resolved to disambiguation page"
"Asher","https://en.wikipedia.org/wiki/Asher","https://en.wikipedia.org/wiki/Asher","","","Asher","verified_exact_or_redirect",""
"Ashhur","","","","","","no_exact_page",""
"Avishai ben Tzeruya","","","","","","no_exact_page",""
"Avshalom","","https://en.wikipedia.org/wiki/Absalom","","","Absalom","verified_exact_or_redirect",""
"Azubah","","https://en.wikipedia.org/wiki/Azubah","","","Azubah","disambiguation_only","resolved to disambiguation page"
"Baal","","https://en.wikipedia.org/wiki/Baal","","","Baal","verified_exact_or_redirect",""
"Baasa, son of Ahijah","","","","","","no_exact_page",""
"Balaam","https://en.wikipedia.org/wiki/Balaam#Hebrew_Bible","https://en.wikipedia.org/wiki/Balaam","","","Balaam","verified_exact_or_redirect",""
"Balaam the wicked","","","","","","no_exact_page",""
"Baladan","","https://en.wikipedia.org/wiki/Marduk-apla-iddina_II","","","Marduk-apla-iddina II","verified_exact_or_redirect",""
"Baladan, son of Baladan","","","","","","no_exact_page",""
"Balak","https://en.wikipedia.org/wiki/Balak","https://en.wikipedia.org/wiki/Balak","","","Balak","verified_exact_or_redirect",""
"Barak","","https://en.wikipedia.org/wiki/Barak","","","Barak","verified_exact_or_redirect",""
"Baruch ben Neriah","https://en.wikipedia.org/wiki/Baruch_ben_Neriah","https://en.wikipedia.org/wiki/Baruch_ben_Neriah","","","Baruch ben Neriah","verified_exact_or_redirect",""
"Baruch, the son of Neriah","","","","","","no_exact_page",""
"Barzillai the Gileadite","","","","","","no_exact_page",""
"Bathsheba","https://en.wikipedia.org/wiki/Bathsheba#Biblical_account","https://en.wikipedia.org/wiki/Bathsheba","","","Bathsheba","verified_exact_or_redirect",""
"Bathsheba, daughter of Eliam","","","","","","no_exact_page",""
"Bedan","","https://en.wikipedia.org/wiki/Bedan","","","Bedan","verified_exact_or_redirect",""
"Bela","https://en.wikipedia.org/wiki/List_of_minor_Hebrew_Bible_figures,_A%E2%80%93K#Bela","https://en.wikipedia.org/wiki/Bela","","","Bela","disambiguation_only","resolved to disambiguation page"
"Belshazzar","https://en.wikipedia.org/wiki/Belshazzar","https://en.wikipedia.org/wiki/Belshazzar","","","Belshazzar","verified_exact_or_redirect",""
"Benaiah","https://en.wikipedia.org/wiki/Benaiah#Benaiah,_son_of_Jehoiada","https://en.wikipedia.org/wiki/Benaiah","","","Benaiah","verified_exact_or_redirect",""
"Benaiah ben Jehoiada","","","","","","no_exact_page",""
"Benaiah the son of Jehoiada","","https://en.wikipedia.org/wiki/Benaiah","","","Benaiah","verified_exact_or_redirect",""
"Benaiah, son of Jehoiada","","","","","","no_exact_page",""
"Benayahu, son of Jehoiada","https://en.wikipedia.org/wiki/Benaiah#Benaiah,_son_of_Jehoiada","","","","","no_exact_page",""
"Benjamin","https://en.wikipedia.org/wiki/Benjamin#Benjamin's_sons","https://en.wikipedia.org/wiki/Benjamin","https://he.wikipedia.org/wiki/%D7%91%D7%A0%D7%99%D7%9E%D7%99%D7%9F","בנימין","Benjamin","verified_exact_or_redirect",""
"Benjamin the righteous","","","","","","no_exact_page",""
"Benjamin, son of Jacob","","","","","","no_exact_page",""
"Beor","","https://en.wikipedia.org/wiki/Beor","","","Beor","disambiguation_only","resolved to disambiguation page"
"Bezalel","https://en.wikipedia.org/wiki/Bezalel","https://en.wikipedia.org/wiki/Bezalel","","","Bezalel","verified_exact_or_redirect",""
"Bigtan and Teresh","","","","","","no_exact_page",""
"Bigthan","","https://en.wikipedia.org/wiki/Bigthan_and_Teresh","","","Bigthan and Teresh","verified_exact_or_redirect",""
"Bildad the Shuhite","https://en.wikipedia.org/wiki/Bildad","https://en.wikipedia.org/wiki/Bildad","","","Bildad","verified_exact_or_redirect",""
"Bithiah","","https://en.wikipedia.org/wiki/Pharaoh's_daughter_(Exodus)","","","Pharaoh's daughter (Exodus)","verified_exact_or_redirect",""
"Boaz","https://en.wikipedia.org/wiki/Boaz","https://en.wikipedia.org/wiki/Boaz","","","Boaz","verified_exact_or_redirect",""
"Cain","","https://en.wikipedia.org/wiki/Cain","","","Cain","verified_exact_or_redirect",""
"Caleb","https://en.wikipedia.org/wiki/Caleb","https://en.wikipedia.org/wiki/Caleb","","","Caleb","verified_exact_or_redirect",""
"Caleb, son of Jephunneh","","","","","","no_exact_page",""
"Chileab, son of David","","","","","","no_exact_page",""
"Chilion","","https://en.wikipedia.org/wiki/Mahlon_and_Chilion","","","Mahlon and Chilion","verified_exact_or_redirect",""
"Cozbi","https://en.wikipedia.org/wiki/Cozbi","https://en.wikipedia.org/wiki/Cozbi","","","Cozbi","verified_exact_or_redirect",""
"Cushan-Rishathaim","","https://en.wikipedia.org/wiki/Cushan-rishathaim","","","Cushan-rishathaim","verified_exact_or_redirect",""
"Cyrus","https://en.wikipedia.org/wiki/Cyrus_the_Great","https://en.wikipedia.org/wiki/Cyrus","","","Cyrus","verified_exact_or_redirect",""
"Daniel","https://en.wikipedia.org/wiki/Daniel_(biblical_figure)","https://en.wikipedia.org/wiki/Daniel","","","Daniel","disambiguation_only","resolved to disambiguation page"
"Darius","","https://en.wikipedia.org/wiki/Darius","","","Darius","disambiguation_only","resolved to disambiguation page"
"Dathan","https://en.wikipedia.org/wiki/Dathan","https://en.wikipedia.org/wiki/Dathan","","","Dathan","verified_exact_or_redirect",""
"Daughters of Zelophehad","https://en.wikipedia.org/wiki/Daughters_of_Zelophehad","https://en.wikipedia.org/wiki/Daughters_of_Zelophehad","","","Daughters of Zelophehad","verified_exact_or_redirect",""
"David","https://en.wikipedia.org/wiki/David","https://en.wikipedia.org/wiki/David","https://he.wikipedia.org/wiki/%D7%93%D7%95%D7%93","דוד","David","verified_exact_or_redirect",""
"David, son of Yishai","","","","","","no_exact_page",""
"Deborah","https://en.wikipedia.org/wiki/Deborah","https://en.wikipedia.org/wiki/Deborah","","","Deborah","verified_exact_or_redirect",""
"Delilah","https://en.wikipedia.org/wiki/Delilah","https://en.wikipedia.org/wiki/Delilah","","","Delilah","verified_exact_or_redirect",""
"descendant of Noah","","","","","","no_exact_page",""
"descendants of Noah","","https://en.wikipedia.org/wiki/Generations_of_Noah","","","Generations of Noah","verified_exact_or_redirect",""
"Dina, the daughter of Jacob","","","","","","no_exact_page",""
"Doeg","https://en.wikipedia.org/wiki/Doeg_the_Edomite","https://en.wikipedia.org/wiki/Doeg","","","Doeg","disambiguation_only","resolved to disambiguation page"
"Doeg the Edomite","https://en.wikipedia.org/wiki/Doeg_the_Edomite#In_Rabbinical_literature","https://en.wikipedia.org/wiki/Doeg_the_Edomite","","","Doeg the Edomite","verified_exact_or_redirect",""
"Eber","https://en.wikipedia.org/wiki/Eber","https://en.wikipedia.org/wiki/Eber","","","Eber","verified_exact_or_redirect",""
"Ebiathar","","","","","","no_exact_page",""
"Eglah","https://en.wikipedia.org/wiki/List_of_minor_Hebrew_Bible_figures,_A%E2%80%93K#Eglah","https://en.wikipedia.org/wiki/List_of_minor_Hebrew_Bible_figures%2C_A%E2%80%93K","","","List of minor Hebrew Bible figures, A–K","verified_exact_or_redirect",""
"Eglon","https://en.wikipedia.org/wiki/Eglon_(king)","https://en.wikipedia.org/wiki/Eglon","","","Eglon","disambiguation_only","resolved to disambiguation page"
"Eglon, king of Moab","","","","","","no_exact_page",""
"Eglon, son of Balak","","","","","","no_exact_page",""
"Eglon, son of the son of Balak, king of Moab","","","","","","no_exact_page",""
"Eldad and Medad","https://en.wikipedia.org/wiki/Eldad_and_Medad","https://en.wikipedia.org/wiki/Eldad_and_Medad","","","Eldad and Medad","verified_exact_or_redirect",""
"Eli","https://en.wikipedia.org/wiki/Eli_(biblical_figure)","https://en.wikipedia.org/wiki/Eli","","","Eli","disambiguation_only","resolved to disambiguation page"
"Eliezer, servant of Abraham","https://en.wikipedia.org/wiki/Eliezer#The_servant_of_Abraham","","","","","no_exact_page",""
"Eliezer, the servant of Abraham","","","","","","no_exact_page",""
"Elihu ben Barachel","","","","","","no_exact_page",""
"Elihu ben Barachel the Buzite","https://en.wikipedia.org/wiki/Elihu_(biblical_figure)","","","","","no_exact_page",""
"Elihu, son of Barachel, the Buzite","","","","","","no_exact_page",""
"Elimelech","","https://en.wikipedia.org/wiki/Elimelech","","","Elimelech","verified_exact_or_redirect",""
"Eliphaz the Temanite","https://en.wikipedia.org/wiki/Eliphaz_(Job)","https://en.wikipedia.org/wiki/Eliphaz_(Job)","","","Eliphaz (Job)","verified_exact_or_redirect",""
"Eliphaz, son of Esau","","","","","","no_exact_page",""
"Elisha","https://en.wikipedia.org/wiki/Elisha","https://en.wikipedia.org/wiki/Elisha","","","Elisha","verified_exact_or_redirect",""
"Elisheva","https://en.wikipedia.org/wiki/Elisheba","https://en.wikipedia.org/wiki/Elisheba","","","Elisheba","verified_exact_or_redirect",""
"Elpaal","","https://en.wikipedia.org/wiki/List_of_minor_Hebrew_Bible_figures%2C_A%E2%80%93K","","","List of minor Hebrew Bible figures, A–K","verified_exact_or_redirect",""
"Ephron","","https://en.wikipedia.org/wiki/Ephron","","","Ephron","verified_exact_or_redirect",""
"Er","","https://en.wikipedia.org/wiki/ER","","","ER","disambiguation_only","resolved to disambiguation page"
"Er and Onan","","","","","","no_exact_page",""
"Esau","https://en.wikipedia.org/wiki/Esau","https://en.wikipedia.org/wiki/Esau","","","Esau","verified_exact_or_redirect",""
"Esther","https://en.wikipedia.org/wiki/Esther#Name","https://en.wikipedia.org/wiki/Esther","","","Esther","verified_exact_or_redirect",""
"Evil-merodach","https://en.wikipedia.org/wiki/Amel-Marduk","https://en.wikipedia.org/wiki/Amel-Marduk","","","Amel-Marduk","verified_exact_or_redirect",""
"Ezekiel","https://en.wikipedia.org/wiki/Ezekiel","https://en.wikipedia.org/wiki/Ezekiel","","","Ezekiel","verified_exact_or_redirect",""
"Ezekiel ben Buzi","","","","","","no_exact_page",""
"Ezekiel, son of Buzi","","","","","","no_exact_page",""
"Ezra","https://en.wikipedia.org/wiki/Ezra","https://en.wikipedia.org/wiki/Ezra","https://he.wikipedia.org/wiki/%D7%A2%D7%96%D7%A8%D7%90_%D7%94%D7%A1%D7%95%D7%A4%D7%A8","עזרא הסופר","Ezra","verified_exact_or_redirect",""
"Gabriel","https://en.wikipedia.org/wiki/Gabriel","https://en.wikipedia.org/wiki/Gabriel","","","Gabriel","verified_exact_or_redirect",""
"Gad","","https://en.wikipedia.org/wiki/Gad","","","Gad","disambiguation_only","resolved to disambiguation page"
"Gad the seer","https://en.wikipedia.org/wiki/Gad_(prophet)","","","","","no_exact_page",""
"Gedaliah ben Ahikam","","","","","","no_exact_page",""
"Gedaliah, son of Ahikam","","","","","","no_exact_page",""
"Gehazi","https://en.wikipedia.org/wiki/Gehazi","https://en.wikipedia.org/wiki/Gehazi","","","Gehazi","verified_exact_or_redirect",""
"Geihazi","","","","","","no_exact_page",""
"Gideon","https://en.wikipedia.org/wiki/Gideon","https://en.wikipedia.org/wiki/Gideon","","","Gideon","verified_exact_or_redirect",""
"Gog and Magog","https://en.wikipedia.org/wiki/Gog_and_Magog#Names","https://en.wikipedia.org/wiki/Gog_and_Magog","","","Gog and Magog","verified_exact_or_redirect",""
"Goliath","","https://en.wikipedia.org/wiki/Goliath","","","Goliath","verified_exact_or_redirect",""
"Habakkuk","","https://en.wikipedia.org/wiki/Habakkuk","","","Habakkuk","verified_exact_or_redirect",""
"Hadadrimmon, son of Tabrimmon","","","","","","no_exact_page",""
"Hadadrimmon, son of Tavrimon","","","","","","no_exact_page",""
"Hadassah","","https://en.wikipedia.org/wiki/Hadassah","","","Hadassah","disambiguation_only","resolved to disambiguation page"
"Hadrimmon ben Tabrimmon","","","","","","no_exact_page",""
"Haggai, Zechariah, and Malachi","","","","","","no_exact_page",""
"Haggith","","https://en.wikipedia.org/wiki/Haggith","","","Haggith","verified_exact_or_redirect",""
"Ham","https://en.wikipedia.org/wiki/Ham_(Genesis)","https://en.wikipedia.org/wiki/Ham","","","Ham","verified_exact_or_redirect",""
"Haman","https://en.wikipedia.org/wiki/Haman","https://en.wikipedia.org/wiki/Haman","","","Haman","verified_exact_or_redirect",""
"Hanamel","","","","","","no_exact_page",""
"Hanani","","https://en.wikipedia.org/wiki/Hanani","","","Hanani","verified_exact_or_redirect",""
"Hananiah, Mishael, and Azariah","https://en.wikipedia.org/wiki/Shadrach,_Meshach,_and_Abednego","https://en.wikipedia.org/wiki/Shadrach%2C_Meshach%2C_and_Abednego","","","Shadrach, Meshach, and Abednego","verified_exact_or_redirect",""
"Hananiah, son of Azzur","","https://en.wikipedia.org/wiki/Book_of_Jeremiah","https://he.wikipedia.org/wiki/%D7%A1%D7%A4%D7%A8_%D7%99%D7%A8%D7%9E%D7%99%D7%94%D7%95","ספר ירמיהו","Book of Jeremiah","verified_exact_or_redirect",""
"Hannah","https://en.wikipedia.org/wiki/Women_in_the_Bible#Hannah","https://en.wikipedia.org/wiki/Hannah","","","Hannah","disambiguation_only","resolved to disambiguation page"
"Harafa","","https://en.wikipedia.org/wiki/Orpah","","","Orpah","verified_exact_or_redirect",""
"Haran","https://en.wikipedia.org/wiki/Harran_(biblical_place)#Biblical_mentions","https://en.wikipedia.org/wiki/Haran","","","Haran","verified_exact_or_redirect",""
"Harim","https://en.wikipedia.org/wiki/Harim","https://en.wikipedia.org/wiki/List_of_minor_Hebrew_Bible_figures%2C_A%E2%80%93K","","","List of minor Hebrew Bible figures, A–K","verified_exact_or_redirect",""
"Hatach","","https://en.wikipedia.org/wiki/List_of_minor_Hebrew_Bible_figures%2C_A%E2%80%93K","","","List of minor Hebrew Bible figures, A–K","verified_exact_or_redirect",""
"Hathach","https://en.wikipedia.org/wiki/List_of_minor_Hebrew_Bible_figures,_A%E2%80%93K#Hathach","","","","","no_exact_page",""
"Helah","https://en.wikipedia.org/wiki/List_of_minor_Hebrew_Bible_figures,_A%E2%80%93K#Helah","https://en.wikipedia.org/wiki/Ashur_(Bible)","","","Ashur (Bible)","verified_exact_or_redirect",""
"Heman","https://en.wikipedia.org/wiki/Heman_the_Ezrahite","https://en.wikipedia.org/wiki/Heman","","","Heman","disambiguation_only","resolved to disambiguation page"
"Hepher","","https://en.wikipedia.org/wiki/Hepher","","","Hepher","verified_exact_or_redirect",""
"Hezekiah","https://en.wikipedia.org/wiki/Hezekiah","https://en.wikipedia.org/wiki/Hezekiah","","","Hezekiah","verified_exact_or_redirect",""
"Hezekiah, king of Judea","","","","","","no_exact_page",""
"Hezron","https://en.wikipedia.org/wiki/Hezron","https://en.wikipedia.org/wiki/Hezron","","","Hezron","verified_exact_or_redirect",""
"Hilkiah","https://en.wikipedia.org/wiki/Hilkiah#Patrilineal_Ancestry","https://en.wikipedia.org/wiki/Hilkiah","","","Hilkiah","verified_exact_or_redirect",""
"Ḥiram","","","","","","no_exact_page",""
"Ḥiram, king of Tyre","","","","","","no_exact_page",""
"Ḥofni and Pineḥas the sons of Eli","","","","","","no_exact_page",""
"Hophni","","https://en.wikipedia.org/wiki/Hophni_and_Phinehas","","","Hophni and Phinehas","verified_exact_or_redirect",""
"Hosea","https://en.wikipedia.org/wiki/Hosea","https://en.wikipedia.org/wiki/Hosea","https://he.wikipedia.org/wiki/%D7%94%D7%95%D7%A9%D7%A2_%D7%91%D7%9F_%D7%91%D7%90%D7%A8%D7%99","הושע בן בארי","Hosea","verified_exact_or_redirect",""
"Hosea, son of Beeri","","","","","","no_exact_page",""
"Hoshea ben Elah","","","","","","no_exact_page",""
"Hoshea, son of Ela","","","","","","no_exact_page",""
"Hoshea, son of Elah","","","","","","no_exact_page",""
"Huldah","https://en.wikipedia.org/wiki/Huldah","https://en.wikipedia.org/wiki/Huldah","","","Huldah","verified_exact_or_redirect",""
"Huldah the prophetess","","","","","","no_exact_page",""
"Hushim, the son of Dan","","","","","","no_exact_page",""
"Ibzan","","https://en.wikipedia.org/wiki/Ibzan","","","Ibzan","verified_exact_or_redirect",""
"Iddo","","https://en.wikipedia.org/wiki/Iddo","","","Iddo","disambiguation_only","resolved to disambiguation page"
"Iddo the prophet","","","","","","no_exact_page",""
"Immer","https://en.wikipedia.org/wiki/List_of_minor_Hebrew_Bible_figures,_A%E2%80%93K#Immer","https://en.wikipedia.org/wiki/Immer","","","Immer","verified_exact_or_redirect",""
"Ira HaYa’iri","","","","","","no_exact_page",""
"Ira the Yairite","","","","","","no_exact_page",""
"Isaac","https://en.wikipedia.org/wiki/Isaac","https://en.wikipedia.org/wiki/Isaac","","","Isaac","verified_exact_or_redirect",""
"Isaac, son of Abraham","","","","","","no_exact_page",""
"Isaiah","https://en.wikipedia.org/wiki/Isaiah","https://en.wikipedia.org/wiki/Isaiah","https://he.wikipedia.org/wiki/%D7%99%D7%A9%D7%A2%D7%99%D7%94%D7%95","ישעיהו","Isaiah","verified_exact_or_redirect",""
"Iscah","https://en.wikipedia.org/wiki/Iscah","https://en.wikipedia.org/wiki/Iscah","","","Iscah","verified_exact_or_redirect",""
"Ish Boshet","","","","","","no_exact_page",""
"Ishbi in Nob","","","","","","no_exact_page",""
"Ishbibenob","https://en.wikipedia.org/wiki/List_of_minor_Hebrew_Bible_figures,_A%E2%80%93K#Ishbi-benob","https://en.wikipedia.org/wiki/List_of_minor_Hebrew_Bible_figures%2C_A%E2%80%93K","","","List of minor Hebrew Bible figures, A–K","verified_exact_or_redirect",""
"Ish-bosheth","","https://en.wikipedia.org/wiki/Ish-bosheth","","","Ish-bosheth","verified_exact_or_redirect",""
"Ishi","","https://en.wikipedia.org/wiki/Ishi","","","Ishi","verified_exact_or_redirect",""
"Ishmael","https://en.wikipedia.org/wiki/Ishmael","https://en.wikipedia.org/wiki/Ishmael","","","Ishmael","verified_exact_or_redirect",""
"Ishmael, son of Abraham","","","","","","no_exact_page",""
"Ishmael, son of Nethaniah","","","","","","no_exact_page",""
"Issachar","https://en.wikipedia.org/wiki/Issachar","https://en.wikipedia.org/wiki/Issachar","","","Issachar","verified_exact_or_redirect",""
"Istahar","","","","","","no_exact_page",""
"Ittai the Gittite","","","","","","no_exact_page",""
"Jacob","https://en.wikipedia.org/wiki/Jacob","https://en.wikipedia.org/wiki/Jacob","","","Jacob","verified_exact_or_redirect",""
"Jacob our forefather","","","","","","no_exact_page",""
"Jacob, our patriarch","","","","","","no_exact_page",""
"Japheth","","https://en.wikipedia.org/wiki/Japheth","","","Japheth","verified_exact_or_redirect",""
"Jeconiah","https://en.wikipedia.org/wiki/Jeconiah","https://en.wikipedia.org/wiki/Jeconiah","","","Jeconiah","verified_exact_or_redirect",""
"Jedaiah","https://en.wikipedia.org/wiki/Jedaiah","https://en.wikipedia.org/wiki/Jedaiah","","","Jedaiah","verified_exact_or_redirect",""
"Jeduthun","https://en.wikipedia.org/wiki/Jeduthun","https://en.wikipedia.org/wiki/Jeduthun","","","Jeduthun","verified_exact_or_redirect",""
"Jehoahaz","https://en.wikipedia.org/wiki/Jehoahaz_of_Judah","https://en.wikipedia.org/wiki/Jehoahaz","","","Jehoahaz","disambiguation_only","resolved to disambiguation page"
"Jehoiachin","https://en.wikipedia.org/wiki/Jeconiah","https://en.wikipedia.org/wiki/Jeconiah","","","Jeconiah","verified_exact_or_redirect",""
"Jehoiada","https://en.wikipedia.org/wiki/Jehoiada","https://en.wikipedia.org/wiki/Jehoiada","","","Jehoiada","verified_exact_or_redirect",""
"Jehoiada the priest","","","","","","no_exact_page",""
"Jehoiakim","https://en.wikipedia.org/wiki/Jehoiakim","https://en.wikipedia.org/wiki/Jehoiakim","","","Jehoiakim","verified_exact_or_redirect",""
"Jehoiarib","https://en.wikipedia.org/wiki/Jehoiarib","https://en.wikipedia.org/wiki/Jehoiarib","","","Jehoiarib","verified_exact_or_redirect",""
"Jehoram","","https://en.wikipedia.org/wiki/Jehoram","","","Jehoram","disambiguation_only","resolved to disambiguation page"
"Jehoram, son of Ahab","","","","","","no_exact_page",""
"Jehosaphat","","https://en.wikipedia.org/wiki/Jehoshaphat","https://he.wikipedia.org/wiki/%D7%99%D7%94%D7%95%D7%A9%D7%A4%D7%98","יהושפט","Jehoshaphat","verified_exact_or_redirect",""
"Jehoshaphat","https://en.wikipedia.org/wiki/Jehoshaphat","https://en.wikipedia.org/wiki/Jehoshaphat","https://he.wikipedia.org/wiki/%D7%99%D7%94%D7%95%D7%A9%D7%A4%D7%98","יהושפט","Jehoshaphat","verified_exact_or_redirect",""
"Jehoshaphat, king of Judea","","","","","","no_exact_page",""
"Jehu","https://en.wikipedia.org/wiki/Jehu#Jezreel_and_the_deaths_of_Jehoram_and_Jezebel","https://en.wikipedia.org/wiki/Jehu","","","Jehu","verified_exact_or_redirect",""
"Jehu, son of Nimshi","","","","","","no_exact_page",""
